S.N,District_Name,Zone,Ecological_Belt,Development_Region,Year_BS,Year_AD,condition,type,Male,Female,Age,Married,Unmarried,Education,Employment,lat,long,Age_Group,encoded_Conditions,encoded_Types,encoded_Education,encoded_Employment
0,Taplejung,Mechi,Mountain,Eastern,2069,2012,Severe,Depression,26,24,19,27,23.0,"Some College, short continuing education or equivalent",no,27.61858869,87.85666093,young,3,2,3,1
1,Taplejung,Mechi,Mountain,Eastern,2069,2012,Severe,Psychosis,53,30,50,57,26.0,None,yes,27.61858869,87.85666093,old,3,6,1,3
2,Taplejung,Mechi,Mountain,Eastern,2069,2012,Major,Anxiety,24,32,21,37,19.0,Unknown,yes,27.61858869,87.85666093,Middle-age,0,1,4,3
3,Taplejung,Mechi,Mountain,Eastern,2069,2012,Major,Mental retardation,48,46,20,51,43.0,"College degree, bachelor, master",yes,27.61858869,87.85666093,Middle-age,0,5,0,3
4,Taplejung,Mechi,Mountain,Eastern,2069,2012,Major,Hysteria,49,29,60,45,33.0,Unknown,retired,27.61858869,87.85666093,old,0,4,4,2
5,Taplejung,Mechi,Mountain,Eastern,2069,2012,Severe,Alcoholism,30,20,27,49,1.0,"College degree, bachelor, master",yes,27.61858869,87.85666093,Middle-age,3,0,0,3
6,Taplejung,Mechi,Mountain,Eastern,2069,2012,Major,Epilepsy,54,25,28,24,55.0,"College degree, bachelor, master",yes,27.61858869,87.85666093,Middle-age,0,3,0,3
7,Panchthar,Mechi,Hill,Eastern,2069,2012,Normal,Depression,54,49,58,23,80.0,"College degree, bachelor, master",yes,27.05953098,87.82000369,old,2,2,0,3
8,Panchthar,Mechi,Hill,Eastern,2069,2012,Severe,Psychosis,54,37,37,22,69.0,"College degree, bachelor, master",yes,27.05953098,87.82000369,Middle-age,3,6,0,3
9,Panchthar,Mechi,Hill,Eastern,2069,2012,Severe,Anxiety,59,26,59,53,32.0,None,yes,27.05953098,87.82000369,old,3,1,1,3
10,Panchthar,Mechi,Hill,Eastern,2069,2012,Severe,Mental retardation,27,54,28,26,55.0,"College degree, bachelor, master",yes,27.05953098,87.82000369,Middle-age,3,5,0,3
11,Panchthar,Mechi,Hill,Eastern,2069,2012,Major,Hysteria,27,37,59,48,16.0,"College degree, bachelor, master",retired,27.05953098,87.82000369,old,0,4,0,2
12,Panchthar,Mechi,Hill,Eastern,2069,2012,Minor,Alcoholism,54,21,29,19,56.0,"College degree, bachelor, master",yes,27.05953098,87.82000369,Middle-age,1,0,0,3
13,Panchthar,Mechi,Hill,Eastern,2069,2012,Severe,Epilepsy,35,49,29,51,33.0,"College degree, bachelor, master",yes,27.05953098,87.82000369,Middle-age,3,3,0,3
14,Ilam,Mechi,Hill,Eastern,2069,2012,Minor,Depression,54,44,47,19,79.0,PhD/Doctorate,yes,26.8560453,87.9452083,old,1,2,2,3
15,Ilam,Mechi,Hill,Eastern,2069,2012,Normal,Psychosis,38,23,22,53,8.0,"College degree, bachelor, master",yes,26.8560453,87.9452083,Middle-age,2,6,0,3
